joint_name,q_value,delta_q,ee_x,ee_y,ee_z,delta_ee_x,delta_ee_y,delta_ee_z,roll,pitch,yaw
jnt2,1.1599698005,-0.11499999999999999,0.27706116527319674,-0.22162853023038429,-0.061136235862092325,-0.03565512493334094,0.028522529224543597,-0.07006103760690963,-1.5708024092432218,0.11499473510712299,2.4668993906071846
jnt2,1.1649698005000002,-0.10999999999999999,0.2759600280210099,-0.22074767396249795,-0.06290670256612443,-0.0367562621855278,0.029403385492429934,-0.07183150431094174,-1.5708024370579834,0.1099947351074484,2.466899437381991
jnt2,1.1699698005,-0.10499999999999998,0.2748519917735037,-0.21986129906590554,-0.06467009661732723,-0.03786429843303396,0.03028976038902234,-0.07359489836214453,-1.5708024650929093,0.10499473510777535,2.46689948427141
jnt2,1.1749698005,-0.09999999999999998,0.2737370842315266,-0.21896942769993355,-0.06642637393094147,-0.03897920597501109,0.031181631754994332,-0.07535117567575877,-1.5708024933490448,0.09999473510810342,2.466899531277598
jnt2,1.1799698005,-0.09499999999999997,0.2726153332677092,-0.21807208216131962,-0.06817549060012582,-0.04010095693882848,0.03207897729360826,-0.07710029234494312,-1.5708025218274597,0.09499473510843237,2.4668995784027254
jnt2,1.1849698005,-0.09,0.27148676692576706,-0.21716928488365544,-0.06991740289705448,-0.04122952328077062,0.03298177457127244,-0.07884220464187178,-1.5708025505292518,0.08999473510876332,2.4668996256489706
jnt2,1.1899698005000001,-0.08499999999999999,0.27035141341979996,-0.2162610584368258,-0.07165206727401094,-0.042364876786737726,0.03389000101810208,-0.08057686901882824,-1.5708025794555442,0.08499473510909539,2.4668996730185277
jnt2,1.1949698005,-0.07999999999999999,0.2692093011335863,-0.2153474255264448,-0.0733794403644761,-0.04350698907295136,0.03480363392848307,-0.08230424210929341,-1.5708026086074875,0.07999473510942856,2.4668997205135996
jnt2,1.1999698005000001,-0.07499999999999998,0.268060458619874,-0.21442840899328766,-0.07509947898421243,-0.0446558315866637,0.03572265046164022,-0.08402428072902973,-1.5708026379862579,0.07499473510976351,2.466899768136405
jnt2,1.2049698005,-0.06999999999999998,0.26690491459966575,-0.21350403181271943,-0.07681214013234425,-0.04581137560687193,0.03664702764220845,-0.08573694187716155,-1.5708026675930604,0.06999473511009957,2.4668998158891755
jnt2,1.2099698005000001,-0.06499999999999997,0.26574269796150224,-0.2125743170941219,-0.07851738099243208,-0.046973592245035445,0.03757674236080599,-0.08744218273724938,-1.5708026974291258,0.06499473511043696,2.4668998637741555
jnt2,1.2149698005,-0.06,0.26457383776073856,-0.2116392880803145,-0.08021515893354303,-0.04814245244579912,0.03851177137461337,-0.08913996067836033,-1.5708027274957128,0.059994735110776354,2.466899911793604
jnt2,1.2199698005000001,-0.05499999999999999,0.26339836321881915,-0.21069896814697373,-0.08190543151131721,-0.04931792698771853,0.03945209130795416,-0.09083023325613451,-1.5708027577941086,0.05499473511111663,2.466899959949794
jnt2,1.2249698005,-0.04999999999999999,0.26221630372254595,-0.20975338080204928,-0.08358815646902815,-0.05049998648399173,0.040397678652878605,-0.09251295821384545,-1.5708027883256257,0.04999473511145869,2.466900008245016
jnt2,1.2299698005000002,-0.044999999999999984,0.26102768882334526,-0.20880254968517498,-0.08526329173863964,-0.05168860138319242,0.041348509769752906,-0.09418809348345694,-1.5708028190916086,0.044994735111801853,2.466900056681573
jnt2,1.2349698005,-0.03999999999999998,0.25983254823652724,-0.20784649856707976,-0.08693079544185686,-0.052883741970010445,0.04230456088784812,-0.09585559718667416,-1.570802850093426,0.03999473511214702,2.4669001052617863
jnt2,1.2399698005000002,-0.034999999999999976,0.2586309118405446,-0.2068852513489916,-0.08859062589117436,-0.054085378365993086,0.043265808105936276,-0.09751542763599166,-1.5708028813324786,0.03499473511249329,2.466900153987992
jnt2,1.2449698005,-0.02999999999999997,0.2574228096762444,-0.2059188320620409,-0.09024274159091747,-0.05529348053029326,0.044232227392886986,-0.09916754333573477,-1.5708029128101932,0.02999473511284112,2.4669002028625435
jnt2,1.2499698005000002,-0.024999999999999967,0.25620827194611817,-0.20494726486665932,-0.09188710123827923,-0.05650801826041951,0.045203794588268564,-0.10081190298309653,-1.5708029445280283,0.024994735113190725,2.466900251887812
